"|","name","lines","lat","line","lng"
"110TH STREET-8TH AVENUE","Cathedral Pkwy (110 St)","B,C","40.800866","8th Avenue","-73.958405"
"2ND AVENUE-HOUSTON STREET","2 Av","F","40.723950","6th Avenue","-73.991298"
"148TH STREET-LENOX AVENUE","Harlem-148 St","3","40.824069","Lenox","-73.936981"
"KNICKERBOCKER AVE-MYRTLE AV","Knickerbocker Av","M","40.698717","Myrtle Avenue","-73.918655"
"PELHAM PKWY-WHITE PLAINS RD","Pelham Pkwy","2,5","40.858029","White Plains","-73.867481"
"CASTLE HILL AVENUE","Castle Hill Av","6","40.834321","Pelham","-73.851440"
"RALPH AVENUE-FULTON STREET","Ralph Av","A,C","40.678984","Fulton Street","-73.921442"
"BEDFORD PARK BLVD-203RD ST","Bedford Park Blvd","B,D","40.874025","Concourse","-73.886466"
"VAN SICLEN AVENUE","Van Siclen Av","3","40.665431","New Lots","-73.888386"
"ROCKAWAY AVE-HOPKINSON AVE","Rockaway Av","A,C","40.678317","Fulton Street","-73.913651"
"14TH STREET-6TH AVENUE","6 Av","F,L,M,1,2,3","40.737197","Canarsie","-73.996704"
"175TH STREET/FT WASHINGTON","175 St","A","40.846407","8th Avenue","-73.939861"
"FRANKLIN AVENUE-FULTON ST","Franklin Av","C,FS","40.681256","Fulton Street","-73.955590"
"125TH STREET-LENOX AVENUE","125 St","2,3","40.807875","Lenox","-73.945229"
"ATLANTIC AV-VAN SINDEREN AV","Atlantic Av","L","40.675380","Canarsie","-73.902612"
"BAY PARKWAY-66TH STREET","Bay Pkwy","N","40.612989","Sea Beach","-73.982084"
"121ST STREET","121 St","J,Z","40.700520","Jamaica","-73.829231"
"DITMARS BLVD & 31ST STREET","Astoria-Ditmars Blvd","N,Q","40.775025","Astoria","-73.911891"
"72ND STREET & BROADWAY","72 St","1,2,3","40.779146","7th Ave-Bway","-73.981822"
"DEKALB AVENUE","DeKalb Av","Q,R","40.689817","4th Avenue","-73.981082"
"205TH ST-BAINBRIDGE AVE","Norwood-205 St","D","40.874902","Concourse","-73.879267"
"INTERVALE 163RD STREET","Intervale Av","2,5","40.822400","White Plains","-73.896508"
"NORWOOD AVENUE-FULTON ST","Norwood Av","J,Z","40.681757","Jamaica","-73.879007"
"KOSCIUSZKO STREET-BROADWAY","Kosciusko St","J","40.692929","Jamaica","-73.927940"
"EAST 143RD ST-SOUTHERN BLVD","E 143 St-St Mary's St","6","40.808340","Pelham","-73.907618"
"47-50 STREETS/ROCKEFELLER","47-50 Sts-Rockefeller Ctr","B,D,F,M","40.758615","6th Avenue","-73.981095"
"59TH STREET-4TH AVENUE","59 St","N,R","40.641633","4th Avenue","-74.017362"
"SUTPHIN BOULEVARD","Sutphin Blvd-Archer Av-JFK Airport","E,J,Z","40.700554","Archer Avenue","-73.807353"
"FT HAMILTON PKY-GREENWOOD","Fort Hamilton Pkwy","F,G","40.651608","Prospect Park","-73.975596"
"VAN SICLEN AVENUE-FULTON ST","Van Siclen Av","J,Z","40.677847","Jamaica","-73.891711"
"170TH STREET-JEROME AVENUE","170 St","4","40.840076","Jerome","-73.917648"
"BROADWAY LAFAYETTE-BLEECKER","B'way-Lafayette St","B,D,F,M","40.725499","6th Avenue","-73.996387"
"JACKSON AVENUE-VERNON BLVD","Vernon Blvd-Jackson Av","7","40.742759","Flushing","-73.953893"
"CANAL STREET-BROADWAY","Canal St","J,N,Q,R,Z,6","40.719498","Broadway","-74.001606"
"HOYT STREET-FULTON STREET","Hoyt St","2,3","40.690433","Eastern Parkway","-73.984323"
"TREMONT AVE-179TH ST","Tremont Av","B,D","40.851176","Concourse","-73.904263"
"CYPRESS HILLS","Cypress Hills","J","40.690142","Jamaica","-73.871630"
"71ST AVE-CONTINENTAL AVE","Forest Hills-71 Av","E,F,M,R","40.721490","Queens","-73.843389"
"96TH ST-CENTRAL PARK WEST","96 St","B,C","40.791642","8th Avenue","-73.965009"
"63RD DRIVE-REGO PARK","63 Dr-Rego Park","M,R","40.730037","Queens","-73.861343"
"SMITH STREET-9TH STREET","Smith-9 Sts","F,G","40.674725","Prospect Park","-73.997505"
"JUNCTION BLVD-ROOSEVELT AVE","Junction Blvd","7","40.749095","Flushing","-73.869120"
"176TH STREET-JEROME AVENUE","176 St","4","40.848501","Jerome","-73.911633"
"HOYT ST-SCHERMERHORN ST","Hoyt-Schermerhorn","A,C,G","40.688396","Fulton Street","-73.984216"
"116TH STREET-COLUMBIA","116 St-Columbia University","1","40.808245","7th Ave-Bway","-73.963495"
"DYRE AVENUE-LIGHT STREET","Eastchester-Dyre Av","5","40.887980","Dyre Avenue","-73.831195"
"SUTPHIN BLVD-HILLSIDE AVE","Sutphin Blvd","F","40.705591","Queens","-73.809481"
"GRAND ARMY PLAZA","Grand Army Plaza","2,3","40.675110","Eastern Parkway","-73.970822"
"MOSHOLU PARKWAY-JEROME AVE","Mosholu Pkwy","4","40.879899","Jerome","-73.884244"
"DEKALB AVE-WYCKOFF AVE","DeKalb Av","L","40.704379","Canarsie","-73.919026"
"75TH AVENUE-QUEENS BLVD","75 Av","E,F","40.719061","Queens","-73.837916"
"138TH ST-GRAND CONCOURSE","138 St-Grand Concourse","4,5","40.813091","Jerome","-73.929689"
"SUTTER AVENUE","Sutter Av-Rutland Rd","3","40.664891","New Lots","-73.922675"
"8TH STREET & BROADWAY","8 St-NYU","N,R","40.730578","Broadway","-73.992216"
"8TH AVENUE-62ND STREET","8 Av","N","40.634552","Sea Beach","-74.010726"
"PARSONS BLVD & HILLSIDE AV","Parsons Blvd","F","40.707563","Queens","-73.802611"
"163RD ST & AMSTERDAM AVE","163 St-Amsterdam Av","C","40.835192","8th Avenue","-73.940146"
"168TH STREET & BROADWAY","168 St","A,C,1","40.840717","7th Ave-Bway","-73.939720"
"ELDER AVE-WESTCHESTER AVE","Elder Av","6","40.828688","Pelham","-73.879018"
"57TH STREET-6TH AVENUE","57 St","F","40.764564","6th Avenue","-73.976830"
"CANAL STREET","Canal St","J,N,Q,R,Z,6","40.718589","Lexington","-74.000552"
"HEWES STREET-BROADWAY","Hewes St","J,M","40.707248","Jamaica","-73.954326"
"21ST STREET-QUEENSBRIDGE","21 St-Queensbridge","F","40.754255","63rd Street","-73.941935"
"CLARK STREET-HENRY STREET","Clark St","2,3","40.697649","Clark Street","-73.993060"
"CHURCH AVENUE","Church Av","B,Q","40.649427","Brighton","-73.963356"
"BAYCHESTER AVE-TILLOTSON","Baychester Av","5","40.879330","Dyre Avenue","-73.837858"
"125TH STREET & BROADWAY","125 St","1","40.815230","7th Ave-Bway","-73.958366"
"42ND STREET & GRAND CENTRAL","Grand Central-42 St","GS,4,5,6,7","40.751724","Lexington","-73.976346"
"18TH STREET-7TH AVENUE","18 St","1","40.741617","7th Ave-Bway","-73.997197"
"PELHAM BAY PARK-BRUCKNER BL","Pelham Bay Park","6","40.853041","Pelham","-73.826991"
"111TH STREET","111 St","J","40.697055","Jamaica","-73.837156"
"MT EDEN AVENUE-JEROME AVE","Mt Eden Av","4","40.844389","Jerome","-73.914578"
"18TH AVENUE-62ND STREET","18 Av","N","40.620062","Sea Beach","-73.989410"
