pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,dropoff_datetime
-73.991241,40.746582,-73.845215,40.754818,2013-04-05 18:55:00
-73.953613,40.767181,-73.844872,40.758446,2013-04-05 19:05:00
-73.988754,40.692947,-73.844917,40.758495,2013-04-05 19:06:00
-73.979683,40.713894,-73.850578,40.753502,2013-04-05 19:09:00
-74.014214,40.712906,-73.8386,40.759407,2013-04-05 19:15:00
-73.909882,40.768703,-73.845116,40.758961,2013-04-05 19:00:00
-73.916985,40.771053,-73.845024,40.758793,2013-04-05 19:02:00
-73.93512,40.796333,-73.845406,40.759525,2013-04-05 19:05:00
-73.978424,40.762177,-73.84874,40.757538,2013-04-05 19:33:00
-73.960793,40.76125,-73.845818,40.759792,2013-04-05 18:45:00
-74.009354,40.713013,-73.844337,40.757301,2013-04-05 18:49:00
-73.974144,40.747349,-73.844917,40.758476,2013-04-05 19:21:00
-73.853111,40.758774,-73.853111,40.758774,2013-04-06 12:55:00
-73.924744,40.769127,-73.845329,40.759296,2013-04-06 12:54:00
-73.972816,40.795803,-73.844894,40.758476,2013-04-06 12:55:00
-73.979317,40.761265,-73.84362,40.756336,2013-04-06 12:59:00
-73.853111,40.758774,-73.853111,40.758774,2013-04-06 12:42:00
-73.953468,40.767677,-73.846092,40.754898,2013-04-06 13:06:00
-74.004242,40.731281,-73.845207,40.75922,2013-04-06 13:15:00
-73.955292,40.779964,-73.845154,40.758987,2013-04-06 13:08:00
-74.014626,40.709316,-73.84906,40.757744,2013-04-06 12:50:00
-73.991058,40.717682,-73.844978,40.758686,2013-04-06 13:33:00
-73.985252,40.727776,-73.848267,40.7584,2013-04-06 12:51:00
-73.926285,40.762218,-73.846504,40.759697,2013-04-06 12:50:00
-73.998512,40.745316,-73.845764,40.760319,2013-04-06 12:58:00
-73.982613,40.756371,-73.849014,40.757832,2013-04-06 13:23:00
-73.945328,40.774052,-73.84391,40.756561,2013-04-06 13:04:00
-73.953262,40.767616,-73.844955,40.758698,2013-04-06 13:05:00
-73.962479,40.763538,-73.8452,40.75901,2013-04-06 13:06:00
-73.973984,40.747082,-73.845924,40.759666,2013-04-06 13:10:00
