pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,dropoff_datetime
-73.992203,40.764214,-73.930214,40.826843,2013-07-26 19:07:00
-73.977203,40.789387,-73.92894,40.830036,2013-07-26 18:46:00
-73.979797,40.764362,-73.922691,40.826675,2013-07-26 18:46:00
-73.974739,40.756683,-73.929688,40.826313,2013-07-26 18:48:00
-73.969437,40.750412,-73.930519,40.826817,2013-07-26 18:45:00
-73.953712,40.767162,-73.929688,40.826321,2013-07-26 18:43:00
-73.981506,40.764771,-73.928612,40.830151,2013-07-26 19:16:00
-73.967323,40.769352,-73.928108,40.830303,2013-07-26 18:53:00
-73.928589,40.818924,-73.92794,40.830311,2013-07-26 19:16:00
-73.956093,40.772518,-73.927757,40.830173,2013-07-26 19:19:00
-73.964081,40.768139,-73.930374,40.826931,2013-07-26 19:19:00
-73.983482,40.760712,-73.929588,40.826302,2013-07-26 19:22:00
-73.972603,40.760769,-73.928581,40.830177,2013-07-26 19:22:00
-73.957626,40.779018,-73.930344,40.826939,2013-07-26 19:25:00
-73.945526,40.80212,-73.929832,40.826576,2013-07-26 19:01:00
-73.940659,40.840076,-73.928703,40.829185,2013-07-26 19:04:00
-74.007637,40.74094,-73.928558,40.829311,2013-07-26 19:06:00
-73.953644,40.77906,-73.929916,40.826706,2013-07-26 19:07:00
-73.9785,40.783459,-73.929298,40.825893,2013-07-26 19:03:00
-73.978088,40.786362,-73.928596,40.829231,2013-07-26 19:08:00
-73.974739,40.757858,-73.929535,40.826122,2013-07-26 19:10:00
-73.946205,40.780666,-73.930344,40.82687,2013-07-27 12:43:00
-73.967522,40.769337,-73.93026,40.826847,2013-07-27 12:41:00
-74.003448,40.734161,-73.928856,40.829048,2013-07-27 12:46:00
-73.95713,40.718342,-73.929649,40.826382,2013-07-27 12:56:00
-73.958382,40.800205,-73.930069,40.829926,2013-07-27 12:44:00
-73.991119,40.727901,-73.930199,40.826801,2013-07-27 13:00:00
-73.999504,40.738674,-73.930496,40.826874,2013-07-27 12:48:00
-73.978035,40.766571,-73.929733,40.826584,2013-07-27 12:37:00
-73.971413,40.757622,-73.930183,40.826809,2013-07-27 12:50:00
-73.984879,40.76086,-73.928322,40.829365,2013-07-27 12:46:00
-73.977707,40.757015,-73.925087,40.82719,2013-07-27 12:50:00
-73.981911,40.778381,-73.928413,40.829369,2013-07-27 13:31:00
-73.946754,40.797314,-73.930466,40.826843,2013-07-27 12:44:00
-73.979996,40.763149,-73.926918,40.830936,2013-07-27 12:53:00
-73.98233,40.767555,-73.926392,40.831577,2013-07-27 12:58:00
-73.987808,40.760136,-73.930534,40.826668,2013-07-27 12:55:00
-73.968803,40.798569,-73.929588,40.828728,2013-07-27 13:03:00
-73.949692,40.801826,-73.927811,40.830273,2013-07-27 13:08:00
-73.989609,40.772743,-73.929733,40.826576,2013-07-27 12:55:00
-73.973351,40.76413,-73.929504,40.826199,2013-07-27 12:59:00
-73.958771,40.768414,-73.929703,40.826439,2013-07-27 13:14:00
-73.974335,40.751041,-73.93055,40.82666,2013-07-27 13:16:00
-73.973564,40.792152,-73.931221,40.828278,2013-07-27 13:17:00
-73.979591,40.746181,-73.930305,40.826843,2013-07-27 13:18:00
-73.988525,40.759541,-73.93042,40.828434,2013-07-27 12:38:00
-73.955963,40.772072,-73.92765,40.830135,2013-07-27 13:14:00
-73.990746,40.759361,-73.925034,40.827217,2013-07-27 12:55:00
-73.991554,40.749725,-73.92984,40.826653,2013-07-27 13:21:00
-73.982124,40.775974,-73.929382,40.828831,2013-07-27 13:18:00
-73.949455,40.801933,-73.928009,40.830261,2013-07-27 13:29:00
-73.972694,40.78091,-73.929848,40.826687,2013-07-27 13:10:00
-74.015114,40.709553,-73.929581,40.826344,2013-07-27 13:10:00
-73.946205,40.781544,-73.93058,40.826553,2013-07-27 12:39:00
-73.981934,40.761848,-73.925835,40.832195,2013-07-27 12:42:00
