nta_code,nta_name,p_avg_trip_dist,pickups,d_avg_trip_dist,dropoffs,,,,Filter Used,trip_distance between 0 and 50
BK09,Brooklyn Heights-Cobble Hill,4.2,330764,4.87,514046,,,,,fare_amount > 0
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,4.93,1443,15.75,26831,,,,,
BK19,Brighton Beach,5.51,1294,15.99,15591,,,,,
BK21,Seagate-Coney Island,8.01,368,16.38,6242,,,,,
BK23,West Brighton,5.69,271,15.93,7276,,,,column names,
BK25,Homecrest,3.95,2062,13.6,23598,,,,p_avg_trip_distance,average trip distance of trips that originate from the neighborhood
BK26,Gravesend,4.77,417,15.26,7673,,,,pickups,numbe of pickups in the neighborhood
BK27,Bath Beach,5.92,890,13.97,11991,,,,d_avg_trip_distance,average trip distance of trips that end (dropoff)in the neighborhood
BK28,Bensonhurst West,4.76,1922,13.36,32409,,,,dropoffs,numbe of dropoffs in the neighborhood
BK29,Bensonhurst East,4.33,1396,13.69,21478,,,,,
BK30,Dyker Heights,4.39,1166,11.55,27009,,,,,
BK31,Bay Ridge,5.06,7673,11.67,145263,,,,,
BK32,Sunset Park West,4.57,20598,7.75,126786,,,,,
BK33,Carroll Gardens-Columbia Street-Red Hook,4.13,401444,5.45,510175,,,,,
BK34,Sunset Park East,4.25,2578,9.34,40148,,,,,
BK35,Stuyvesant Heights,3.2,19534,5.35,171813,,,,,
BK37,Park Slope-Gowanus,3.73,426228,5.95,858640,,,,,
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3.87,734270,4.87,907699,,,,,
BK40,Windsor Terrace,4.56,8821,8.23,91681,,,,,
BK41,Kensington-Ocean Parkway,4.87,10056,9.18,52049,,,,,
BK42,Flatbush,4.54,16229,9.04,137840,,,,,
BK43,Midwood,4.2,3165,12.21,32222,,,,,
BK44,Madison,4.7,757,13.65,18922,,,,,
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,5.62,647,14.39,17767,,,,,
BK46,Ocean Parkway South,3.36,2859,11.7,14731,,,,,
BK50,Canarsie,4.68,1639,11.06,21458,,,,,
BK58,Flatlands,4.22,1711,11.6,23924,,,,,
BK60,Prospect Lefferts Gardens-Wingate,4.19,20271,6.97,118525,,,,,
BK61,Crown Heights North,3.79,46599,6,319288,,,,,
BK63,Crown Heights South,3.65,8088,6.7,78799,,,,,
BK64,Prospect Heights,3.61,87796,5.54,232628,,,,,
BK68,Fort Greene,3.68,233521,4.54,332335,,,,,
BK69,Clinton Hill,3.39,103955,4.95,409756,,,,,
BK72,Williamsburg,2.96,21772,4.62,61978,,,,,
BK73,North Side-South Side,3.34,1299698,4.11,1448317,,,,,
BK75,Bedford,3.17,64723,4.93,321634,,,,,
BK76,Greenpoint,3.39,232258,4.24,633360,,,,,
BK77,Bushwick North,3.51,37922,5.37,206461,,,,,
