nta_code,nta_name,p_avg_trip_dist,pickups_CRD,d_avg_distance,dropoffs_CRD,pickups_cash,dropoffs_cash,total_pickups,total_dropoffs,total_trips_crd,total_trips_csh,total_trips,percent_paid_in_cash,,,,,
MN17,Midtown-Midtown South,2.61,13583345,2.32,13632161,14237724,14140679,27821069,27772840,27215506,28378403,55593909,51.05,,,,,
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,2.39,9417027,2.13,8694174,6664676,6291584,16081703,14985758,18111201,12956260,31067461,41.7,,,,Filter Used,trip_distance between 0 and 50
MN40,Upper East Side-Carnegie Hill,2.23,5667721,2.13,5340056,6021972,5714291,11689693,11054347,11007777,11736263,22744040,51.6,,,,,fare_amount > 0
MN23,West Village,2.49,7166177,2.21,6121586,5027500,4258254,12193677,10379840,13287763,9285754,22573517,41.14,,,,,payment_type = 'CRD'
MN19,Turtle Bay-East Midtown,2.6,6160837,2.49,5612669,5334513,4983379,11495350,10596048,11773506,10317892,22091398,46.71,,,,,
MN24,SoHo-TriBeCa-Civic Center-Little Italy,2.9,5140000,2.7,4691355,3585891,3234330,8725891,7925685,9831355,6820221,16651576,40.96,,,,,
MN12,Upper West Side,2.68,4014096,2.78,4033971,3908957,3750632,7923053,7784603,8048067,7659589,15707656,48.76,,,,column names,
MN20,Murray Hill-Kips Bay,2.38,4452661,2.2,4398041,3311546,3359905,7764207,7757946,8850702,6671451,15522153,42.98,,,,p_avg_trip_distance,average trip distance of trips that originate from the neighborhood
MN15,Clinton,2.69,3730698,2.45,3282911,3555700,3204953,7286398,6487864,7013609,6760653,13774262,49.08,,,,pickups,numbe of pickups in the neighborhood
MN31,Lenox Hill-Roosevelt Island,2.64,3535665,2.56,3476847,3194278,3072227,6729943,6549074,7012512,6266505,13279017,47.19,,,,d_avg_trip_distance,average trip distance of trips that end (dropoff)in the neighborhood
MN14,Lincoln Square,2.48,3446683,2.42,3167848,3077857,2821724,6524540,5989572,6614531,5899581,12514112,47.14,,,,dropoffs,numbe of dropoffs in the neighborhood
MN22,East Village,2.7,3411553,2.35,2796104,2281421,1838269,5692974,4634373,6207657,4119690,10327347,39.89,,,,,
MN32,Yorkville,2.98,2536639,2.97,2634690,2197288,2157876,4733927,4792566,5171329,4355164,9526493,45.72,,,,,
MN25,Battery Park City-Lower Manhattan,4.41,2657989,4.33,2998258,1728371,1827026,4386360,4825284,5656247,3555397,9211644,38.6,,,,,
MN21,Gramercy,2.34,2731416,2.15,2296722,1811512,1550075,4542928,3846797,5028138,3361587,8389725,40.07,,,,,
LGA,La Guardia Airport,9.84,2276388,9.99,1484389,1283907,660666,3560295,2145055,3760777,1944573,5705350,34.08,,,,,
MN27,Chinatown,3.1,1800891,2.64,1437806,1303331,1084329,3104222,2522135,3238697,2387660,5626357,42.44,,,,,
MN99,park-cemetery-etc-Manhattan,2.52,1051489,2.6,1057154,1280721,1281413,2332210,2338567,2108643,2562134,4670777,54.85,,,,,
JFK,John F Kennedy International Airport,16.84,1337449,17,783327,1323866,481566,2661315,1264893,2120776,1805432,3926208,45.98,,,,,
MN09,Morningside Heights,3.42,886575,3.57,940225,751884,782751,1638459,1722976,1826800,1534635,3361435,45.65,,,,,
MN33,East Harlem South,3.09,562408,3.05,759439,613273,820422,1175681,1579861,1321847,1433695,2755542,52.03,,,,,
BK73,North Side-South Side,3.61,731951,4.36,882799,567747,565518,1299698,1448317,1614750,1133265,2748015,41.24,,,,,
MN28,Lower East Side,3.08,563547,2.92,829313,396580,710759,960127,1540072,1392860,1107339,2500199,44.29,,,,,
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,4.25,403529,5.27,545472,330741,362227,734270,907699,949001,692968,1641969,42.2,,,,,
MN34,East Harlem North,3.55,244303,3.49,474165,315260,574260,559563,1048425,718468,889520,1607988,55.32,,,,,
QN31,Hunters Point-Sunnyside-West Maspeth,4.23,260433,4.63,461788,327137,479788,587570,941576,722221,806925,1529146,52.77,,,,,
MN11,Central Harlem South,3.57,266325,4.03,425801,250240,414025,516565,839826,692126,664265,1356391,48.97,,,,,
MN50,Stuyvesant Town-Cooper Village,2.65,377191,2.64,440415,227288,257804,604479,698219,817606,485092,1302698,37.24,,,,,
BK37,Park Slope-Gowanus,4.28,225523,6.36,529214,200705,329426,426228,858640,754737,530131,1284868,41.26,,,,,
QN70,Astoria,4.27,164254,5.17,412849,248174,436794,412428,849643,577103,684968,1262071,54.27,,,,,
BK33,Carroll Gardens-Columbia Street-Red Hook,4.75,224472,5.93,314611,176972,195564,401444,510175,539083,372536,911619,40.87,,,,,
BK76,Greenpoint,3.72,126413,4.51,371931,105845,261429,232258,633360,498344,367274,865618,42.43,,,,,
BK09,Brooklyn Heights-Cobble Hill,4.64,186942,5.24,319606,143822,194440,330764,514046,506548,338262,844810,40.04,,,,,
BK90,East Williamsburg,3.53,144916,4.53,297988,114981,207859,259897,505847,442904,322840,765744,42.16,,,,,
MN36,Washington Heights South,5.86,91813,6.93,319297,73063,240926,164876,560223,411110,313989,725099,43.3,,,,,
MN03,Central Harlem North-Polo Grounds,4.17,70125,5.27,268752,90091,282932,160216,551684,338877,373023,711900,52.4,,,,,
BK68,Fort Greene,4.07,120135,4.91,199726,113386,132609,233521,332335,319861,245995,565856,43.47,,,,,
QN72,Steinway,4.88,69297,6.16,204125,83881,199117,153178,403242,273422,282998,556420,50.86,,,,,
MN04,Hamilton Heights,4.76,86167,5.74,195170,77307,192547,163474,387717,281337,269854,551191,48.96,,,,,
BK69,Clinton Hill,3.82,53427,5.18,248052,50528,161704,103955,409756,301479,212232,513711,41.31,,,,,
