nta_code,nta_name,p_avg_trip_dist,pickups_CRD,d_avg_distance,dropoffs_CRD,pickups_cash,dropoffs_cash,total_pickups,total_dropoffs,total_trips_crd,total_trips_csh,total_trips,percent_paid_in_cash,p_avg_tip,d_avg_tip,total_avg_tip,tip_diff_dropoff_pickup,Households,MedianIncome,MedInc_per_Household,,,
BK37,Park Slope-Gowanus,4.28,225523,6.36,529214,200705,329426,426228,858640,754737,530131,1284868,41.26,3.15,4.49,3.82,1.34,1555,97791,62.89,,,
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,4.25,403529,5.27,545472,330741,362227,734270,907699,949001,692968,1641969,42.2,2.96,3.64,3.3,0.68,1317,91056,69.14,,Filter Used,trip_distance between 0 and 50
BK73,North Side-South Side,3.61,731951,4.36,882799,567747,565518,1299698,1448317,1614750,1133265,2748015,41.24,2.7,3.18,2.94,0.48,1576,61655,39.12,,,fare_amount > 0
JFK,John F Kennedy International Airport,16.84,1337449,17,783327,1323866,481566,2661315,1264893,2120776,1805432,3926208,45.98,8.74,9.6,9.17,0.86,2565,42210,16.46,,,payment_type = 'CRD'
LGA,La Guardia Airport,9.84,2276388,9.99,1484389,1283907,660666,3560295,2145055,3760777,1944573,5705350,34.08,6.44,6.64,6.54,0.2,2057,35436,17.23,,,
MN09,Morningside Heights,3.42,886575,3.57,940225,751884,782751,1638459,1722976,1826800,1534635,3361435,45.65,2.53,2.5,2.515,-0.03,4166,95335,22.88,,,
MN11,Central Harlem South,3.57,266325,4.03,425801,250240,414025,516565,839826,692126,664265,1356391,48.97,2.49,2.71,2.6,0.22,2675,104003,38.88,,column names,
MN12,Upper West Side,2.68,4014096,2.78,4033971,3908957,3750632,7923053,7784603,8048067,7659589,15707656,48.76,2.19,2.21,2.2,0.02,4010,117382,29.27,,p_avg_trip_distance,average trip distance of trips that originate from the neighborhood
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,2.39,9417027,2.13,8694174,6664676,6291584,16081703,14985758,18111201,12956260,31067461,41.7,2.13,1.98,2.055,-0.15,3547,71559,20.17,,pickups,numbe of pickups in the neighborhood
MN14,Lincoln Square,2.48,3446683,2.42,3167848,3077857,2821724,6524540,5989572,6614531,5899581,12514112,47.14,2.14,2.09,2.115,-0.05,934,116203,124.41,,d_avg_trip_distance,average trip distance of trips that end (dropoff)in the neighborhood
MN15,Clinton,2.69,3730698,2.45,3282911,3555700,3204953,7286398,6487864,7013609,6760653,13774262,49.08,2.26,2.19,2.225,-0.07,2621,102440,39.08,,dropoffs,numbe of dropoffs in the neighborhood
MN17,Midtown-Midtown South,2.61,13583345,2.32,13632161,14237724,14140679,27821069,27772840,27215506,28378403,55593909,51.05,2.34,2.23,2.285,-0.11,3622,99137,27.37,,,
