nta_code,nta_name,num_stations,households,median_income,median_income_per_household,pickups,dropoffs,total_mta_swipes,total_taxi_trips
BK09,Brooklyn Heights-Cobble Hill,3,1870,106391,56.89,332049,515533,13634829,847582
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,2,1348,56818,42.15,1594,27041,4331100,28635
BK19,Brighton Beach,2,1569,36892,23.51,1482,15807,3930134,17289
BK21,Seagate-Coney Island,NULL,1358,26581,19.57,413,6291,NULL,6704
BK23,West Brighton,3,2024,39416,19.47,299,7322,4706017,7621
BK25,Homecrest,1,964,46752,48.5,2221,23809,922718,26030
BK26,Gravesend,4,1404,40428,28.79,464,7732,2577153,8196
BK27,Bath Beach,NULL,978,56129,57.39,995,12114,NULL,13109
BK28,Bensonhurst West,8,1150,46735,40.64,2122,32660,11588891,34782
BK29,Bensonhurst East,4,1211,43758,36.13,1555,21668,5400406,23223
BK30,Dyker Heights,NULL,885,59970,67.76,1271,27146,NULL,28417
BK31,Bay Ridge,4,1252,59428,47.47,8259,146039,7722621,154298
BK32,Sunset Park West,5,1125,41663,37.03,20912,127231,11813115,148143
BK33,Carroll Gardens-Columbia Street-Red Hook,2,1451,91290,62.92,403345,511834,4080149,915179
BK34,Sunset Park East,2,1283,33972,26.48,2754,40381,4839241,43135
BK35,Stuyvesant Heights,2,1352,37215,27.53,19829,172274,4443772,192103
BK37,Park Slope-Gowanus,7,1555,97791,62.89,429856,862843,13677942,1292699
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,6,1317,91056,69.14,739770,913574,19665688,1653344
BK40,Windsor Terrace,1,1574,83110,52.8,9050,92031,1445981,101081
BK41,Kensington-Ocean Parkway,1,1516,44098,29.09,10657,52731,2662842,63388
BK42,Flatbush,6,1425,47758,33.51,17111,138893,13170887,156004
BK43,Midwood,3,1026,50652,49.37,3418,32508,3486387,35926
BK44,Madison,2,1007,59462,59.05,845,19051,6078259,19896
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,NULL,875,78716,89.96,712,17872,NULL,18584
BK46,Ocean Parkway South,2,741,49932,67.38,4036,15930,1055915,19966
