nta_code,nta_name,hour_of_day,pickups,dropoffs
BX31,Allerton-Pelham Gardens,23,25,727
BX31,Allerton-Pelham Gardens,22,21,707
BX31,Allerton-Pelham Gardens,21,17,579
BX31,Allerton-Pelham Gardens,20,9,416
BX31,Allerton-Pelham Gardens,19,9,315
BX31,Allerton-Pelham Gardens,18,13,283
BX31,Allerton-Pelham Gardens,17,14,242
BX31,Allerton-Pelham Gardens,16,10,236
BX31,Allerton-Pelham Gardens,15,11,214
BX31,Allerton-Pelham Gardens,14,13,210
BX31,Allerton-Pelham Gardens,13,14,182
BX31,Allerton-Pelham Gardens,12,11,167
BX31,Allerton-Pelham Gardens,11,14,177
BX31,Allerton-Pelham Gardens,10,19,171
BX31,Allerton-Pelham Gardens,9,14,209
BX31,Allerton-Pelham Gardens,8,16,160
BX31,Allerton-Pelham Gardens,7,13,112
BX31,Allerton-Pelham Gardens,6,15,136
BX31,Allerton-Pelham Gardens,5,18,196
BX31,Allerton-Pelham Gardens,4,29,342
BX31,Allerton-Pelham Gardens,3,21,383
BX31,Allerton-Pelham Gardens,2,17,456
BX31,Allerton-Pelham Gardens,1,13,608
BX31,Allerton-Pelham Gardens,0,15,645
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,23,2,113
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,22,2,105
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,21,2,61
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,20,3,45
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,18,2,28
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,17,2,19
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,16,4,23
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,15,2,26
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,13,2,25
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,12,2,13
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,11,1,19
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,10,5,17
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,9,3,18
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,8,1,13
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,7,10,15
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,6,1,21
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,5,2,27
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,4,11,59
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,3,6,77
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,2,4,73
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,1,4,98
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,0,4,100
SI48,Arden Heights,23,10,102
SI48,Arden Heights,22,18,102
SI48,Arden Heights,21,10,91
SI48,Arden Heights,20,10,61
SI48,Arden Heights,19,16,36
SI48,Arden Heights,18,15,34
SI48,Arden Heights,17,13,31
SI48,Arden Heights,16,8,22
SI48,Arden Heights,15,12,25
SI48,Arden Heights,14,10,28
SI48,Arden Heights,13,11,26
SI48,Arden Heights,12,8,8
SI48,Arden Heights,11,12,21
SI48,Arden Heights,10,11,22
SI48,Arden Heights,9,9,19
SI48,Arden Heights,8,11,22
SI48,Arden Heights,7,10,15
SI48,Arden Heights,6,8,24
SI48,Arden Heights,4,4,35
SI48,Arden Heights,3,3,41
SI48,Arden Heights,2,7,55
SI48,Arden Heights,1,5,73
SI48,Arden Heights,0,17,103
QN70,Astoria,23,25341,86412
QN70,Astoria,22,19690,68094
QN70,Astoria,21,15028,52370
QN70,Astoria,20,12457,40143
QN70,Astoria,19,10933,30198
QN70,Astoria,18,10582,24330
QN70,Astoria,17,10514,18689
QN70,Astoria,16,8805,15790
QN70,Astoria,15,9553,16216
QN70,Astoria,14,10994,15931
QN70,Astoria,13,11206,14568
QN70,Astoria,12,11661,13894
QN70,Astoria,11,12658,13097
QN70,Astoria,10,14869,12677
QN70,Astoria,9,17648,11490
QN70,Astoria,8,22653,11892
QN70,Astoria,7,24509,12412
QN70,Astoria,6,21333,13368
QN70,Astoria,5,17459,22476
QN70,Astoria,4,21835,45907
QN70,Astoria,3,20737,54608
QN70,Astoria,2,25482,72087
QN70,Astoria,1,30061,89694
QN70,Astoria,0,30553,97332
QN48,Auburndale,23,30,802
QN48,Auburndale,22,22,801
QN48,Auburndale,21,24,655
QN48,Auburndale,20,20,484
QN48,Auburndale,19,21,450
QN48,Auburndale,18,19,372
QN48,Auburndale,17,14,333
QN48,Auburndale,16,19,338
QN48,Auburndale,15,18,310
QN48,Auburndale,14,13,320
QN48,Auburndale,13,11,245
QN48,Auburndale,12,12,192
QN48,Auburndale,11,12,200
QN48,Auburndale,10,13,232
QN48,Auburndale,9,21,197
QN48,Auburndale,8,18,215
QN48,Auburndale,7,24,186
QN48,Auburndale,6,15,135
QN48,Auburndale,5,14,196
QN48,Auburndale,4,19,305
QN48,Auburndale,3,21,443
QN48,Auburndale,2,27,511
QN48,Auburndale,1,28,627
QN48,Auburndale,0,27,707
QN76,Baisley Park,23,867,2997
QN76,Baisley Park,22,999,3124
QN76,Baisley Park,21,972,2904
QN76,Baisley Park,20,1082,2792
