nta_code,nta_name,Households,MedianIncome,MedInc_per_Household,pickups,dropoffs,total_trips,dropoffs/pikups,percetage_of_taxi_activity
MN17,Midtown-Midtown South,3622,99137,27.37,27916471,27880696,55797167,0.998718498,16.52
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,3547,83297,20.17,16132388,15037056,31169444,0.932103542,9.23
MN40,Upper East Side-Carnegie Hill,0,101417,0,11723369,11087504,22810873,0.945760899,6.75
MN23,West Village,2864,130528,45.58,12230846,10415920,22646766,0.851610755,6.71
MN19,Turtle Bay-East Midtown,3720,97380,26.18,11534050,10636301,22170351,0.922165328,6.56
MN24,SoHo-TriBeCa-Civic Center-Little Italy,46747,82967,17.56,8755393,7956249,16711642,0.908725514,4.95
MN12,Upper West Side,4010,117382,29.27,7945570,7807801,15753371,0.982660904,4.66
MN20,Murray Hill-Kips Bay,3186,103039,23.87,7789229,7785102,15574331,0.999470166,4.61
MN15,Clinton,2621,102440,39.08,7316113,6518151,13834264,0.890930881,4.1
MN31,Lenox Hill-Roosevelt Island,2058,65479,21.76,6754141,6571396,13325537,0.972943265,3.95
MN14,Lincoln Square,934,116203,124.41,6541634,6008080,12549714,0.918437198,3.72
MN22,East Village,1952,119053,60.99,5710915,4651637,10362552,0.814516938,3.07
MN32,Yorkville,2004,37590,13.91,4749723,4808100,9557823,1.012290611,2.83
MN25,Battery Park City-Lower Manhattan,2026,42855,21.15,4401820,4843073,9244893,1.100243308,2.74
MN21,Gramercy,2629,114459,43.54,4556163,3859781,8415944,0.847156039,2.49
LGA,La Guardia Airport,2057,35436,17.23,3579964,2158717,5738681,0.602999639,1.7
MN27,Chinatown,4316,99770,23.12,3115596,2532834,5648430,0.812953284,1.67
MN99,park-cemetery-etc-Manhattan,3325,56190,16.9,2337919,2344455,4682374,1.002795649,1.39
JFK,John F Kennedy International Airport,2565,42210,16.46,2739971,1319916,4059887,0.481726266,1.2
MN09,Morningside Heights,4166,95335,22.88,1645047,1729447,3374494,1.051305525,1
MN33,East Harlem South,2303,51296,22.27,1180468,1585133,2765601,1.342800483,0.82
BK73,North Side-South Side,1576,61655,39.12,1303995,1453013,2757008,1.114278046,0.82
MN28,Lower East Side,4832,93142,19.28,963999,1544731,2508730,1.602419712,0.74
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1317,91056,69.14,739770,913574,1653344,1.234943293,0.49
QN31,Hunters Point-Sunnyside-West Maspeth,802,70833,88.32,631927,985466,1617393,1.559461773,0.48
MN34,East Harlem North,2382,36001,15.11,562640,1051916,1614556,1.869607564,0.48
MN11,Central Harlem South,2675,104003,38.88,519622,843062,1362684,1.622452475,0.4
MN50,Stuyvesant Town-Cooper Village,850,49264,57.96,606352,700218,1306570,1.15480447,0.39
BK37,Park Slope-Gowanus,1555,97791,62.89,429856,862843,1292699,2.007283835,0.38
QN70,Astoria,1184,55237,46.65,416561,853675,1270236,2.049339713,0.38
BK33,Carroll Gardens-Columbia Street-Red Hook,1451,91290,62.92,403345,511834,915179,1.268973212,0.27
BK76,Greenpoint,1275,66789,52.38,234835,636355,871190,2.70979624,0.26
BK09,Brooklyn Heights-Cobble Hill,1870,106391,56.89,332049,515533,847582,1.552581095,0.25
BK90,East Williamsburg,1519,53004,34.89,261141,507495,768636,1.943375418,0.23
MN36,Washington Heights South,5188,97998,18.89,166323,562171,728494,3.379995551,0.22
MN03,Central Harlem North-Polo Grounds,1598,21097,13.2,162021,553724,715745,3.41760636,0.21
BK68,Fort Greene,1190,62952,52.9,234625,333600,568225,1.421843367,0.17
QN72,Steinway,0,64395,0,154699,404959,559658,2.617722157,0.17
MN04,Hamilton Heights,2022,61634,30.48,164649,389150,553799,2.363512685,0.16
BK69,Clinton Hill,1480,63479,42.89,104577,410779,515356,3.928005202,0.15
QN68,Queensbridge-Ravenswood-Long Island City,1403,49208,35.07,240355,273803,514158,1.139160825,0.15
BK78,Bushwick South,1178,41918,35.58,97365,350069,447434,3.595429569,0.13
MN06,Manhattanville,1870,48744,26.07,153684,246967,400651,1.606979256,0.12
QN71,Old Astoria,658,61228,93.05,142900,256968,399868,1.798236529,0.12
BK75,Bedford,1280,38969,30.44,65258,322514,387772,4.942137362,0.11
QN28,Jackson Heights,776,57863,74.57,87521,282155,369676,3.223854846,0.11
BK61,Crown Heights North,1529,35744,23.38,47376,320371,367747,6.762305809,0.11
BK64,Prospect Heights,1569,87589,55.82,88306,233280,321586,2.641723099,0.1
MN35,Washington Heights North,2044,139396,68.2,30278,285601,315879,9.432624348,0.09
QN63,Woodside,818,34465,42.13,106408,206695,313103,1.94247613,0.09
QN17,Forest Hills,884,56936,64.41,55081,215488,270569,3.91220203,0.08
BK77,Bushwick North,1472,40970,27.83,38272,207015,245287,5.409045778,0.07
BK35,Stuyvesant Heights,1352,37215,27.53,19829,172274,192103,8.687982248,0.06
QN29,Elmhurst,1406,54760,38.95,48858,141204,190062,2.890089648,0.06
BK42,Flatbush,1425,47758,33.51,17111,138893,156004,8.117176086,0.05
BK31,Bay Ridge,1252,59428,47.47,8259,146039,154298,17.68240707,0.05
BK32,Sunset Park West,1125,41663,37.03,20912,127231,148143,6.084114384,0.04
BK60,Prospect Lefferts Gardens-Wingate,1420,41014,28.88,21238,119600,140838,5.631415388,0.04
MN01,Marble Hill-Inwood,2642,39518,14.96,12471,116988,129459,9.380803464,0.04
QN27,East Elmhurst,1620,47359,29.23,35599,90110,125709,2.531250878,0.04
BX39,Mott Haven-Port Morris,1356,23251,17.15,26632,93640,120272,3.516070892,0.04
QN99,park-cemetery-etc-Queens,1644,81638,49.66,46138,72322,118460,1.567514847,0.04
QN50,Elmhurst-Maspeth,723,60547,83.74,27211,85353,112564,3.136709419,0.03
