nta_code,nta_name,households,median_income,median_income_per_household,pickups,dropoffs,total_swipes
BK09,"Brooklyn Heights-Cobble Hill",1870,106391,56.89,332049,515533,13634829
BK17,"Sheepshead Bay-Gerritsen Beach-Manhattan Beach",1348,56818,42.15,1594,27041,4331100
BK19,"Brighton Beach",1569,36892,23.51,1482,15807,3930134
BK23,"West Brighton",2024,39416,19.47,299,7322,4706017
BK25,Homecrest,964,46752,48.5,2221,23809,922718
BK26,Gravesend,1404,40428,28.79,464,7732,2577153
BK28,"Bensonhurst West",1150,46735,40.64,2122,32660,11588891
BK29,"Bensonhurst East",1211,43758,36.13,1555,21668,5400406
BK31,"Bay Ridge",1252,59428,47.47,8259,146039,7722621
BK32,"Sunset Park West",1125,41663,37.03,20912,127231,11813115
BK33,"Carroll Gardens-Columbia Street-Red Hook",1451,91290,62.92,403345,511834,4080149
BK34,"Sunset Park East",1283,33972,26.48,2754,40381,4839241
BK35,"Stuyvesant Heights",1352,37215,27.53,19829,172274,4443772
BK37,"Park Slope-Gowanus",1555,97791,62.89,429856,862843,13677942
BK38,"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill",1317,91056,69.14,739770,913574,19665688
BK40,"Windsor Terrace",1574,83110,52.8,9050,92031,1445981
BK41,"Kensington-Ocean Parkway",1516,44098,29.09,10657,52731,2662842
BK42,Flatbush,1425,47758,33.51,17111,138893,13170887
BK43,Midwood,1026,50652,49.37,3418,32508,3486387
BK44,Madison,1007,59462,59.05,845,19051,6078259
BK46,"Ocean Parkway South",741,49932,67.38,4036,15930,1055915
BK50,Canarsie,816,63435,77.74,1780,21667,2904988
BK60,"Prospect Lefferts Gardens-Wingate",1420,41014,28.88,21238,119600,7385805
BK61,"Crown Heights North",1529,35744,23.38,47376,320371,22126491
BK63,"Crown Heights South",1624,42399,26.11,8266,79094,2478708
BK64,"Prospect Heights",1569,87589,55.82,88306,233280,3939797
BK68,"Fort Greene",1190,62952,52.9,234625,333600,9436615
BK69,"Clinton Hill",1480,63479,42.89,104577,410779,5096284
BK72,Williamsburg,1192,21587,18.11,21911,62153,906582
BK73,"North Side-South Side",1576,61655,39.12,1303995,1453013,12375382
BK75,Bedford,1280,38969,30.44,65258,322514,5317488
BK76,Greenpoint,1275,66789,52.38,234835,636355,4639839
BK77,"Bushwick North",1472,40970,27.83,38272,207015,11263882
BK78,"Bushwick South",1178,41918,35.58,97365,350069,8024441
