tip_pct,trips
0,3261175
1,77939
2,56332
3,121784
4,264611
5,573477
6,844323
7,1048064
8,1593231
9,1808464
10,2647174
11,2984817
12,2423789
13,2536727
14,2364475
15,2734236
16,2612476
17,1131002
18,2072786
19,703526
20,22503613
21,13717151
22,7643997
23,3334055
24,2400141
25,5299974
26,3604248
27,1894782
28,1297113
29,490464
30,2225315
31,1125237
32,921257
33,690155
34,276638
35,263056
36,307840
37,139864
38,74077
39,20920
40,179062
41,35113
42,58925
43,14496
44,95471
45,21746
46,39125
47,16746
48,7128
49,1763
50,109835
51,4343
52,10971
53,9555
54,27289
55,14723
56,2329
57,32216
58,10857
59,1240
60,23284
61,6128
62,11162
63,3731
64,2496
65,1203
66,33367
67,720
68,1995
69,1436
70,2925
71,7836
72,5911
73,1270
74,1405
75,11594
