p_nta_code,p_nta_name,d_nta_code,d_nta_name,num_trips
MN17,Midtown-Midtown South,MN17,Midtown-Midtown South,6608826
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,MN17,Midtown-Midtown South,2994765
MN17,Midtown-Midtown South,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,2947297
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,2646002
MN40,Upper East Side-Carnegie Hill,MN40,Upper East Side-Carnegie Hill,2613937
MN19,Turtle Bay-East Midtown,MN17,Midtown-Midtown South,2221918
MN17,Midtown-Midtown South,MN19,Turtle Bay-East Midtown,1907089
MN40,Upper East Side-Carnegie Hill,MN17,Midtown-Midtown South,1800187
MN23,West Village,MN17,Midtown-Midtown South,1737676
MN23,West Village,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,1731979
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,MN23,West Village,1698952
MN17,Midtown-Midtown South,MN40,Upper East Side-Carnegie Hill,1696477
MN12,Upper West Side,MN12,Upper West Side,1666660
MN15,Clinton,MN17,Midtown-Midtown South,1555708
MN23,West Village,MN23,West Village,1551236
MN20,Murray Hill-Kips Bay,MN17,Midtown-Midtown South,1522694
MN17,Midtown-Midtown South,MN20,Murray Hill-Kips Bay,1511149
MN17,Midtown-Midtown South,MN23,West Village,1480364
MN17,Midtown-Midtown South,MN15,Clinton,1455425
MN23,West Village,MN24,SoHo-TriBeCa-Civic Center-Little Italy,1273370
MN14,Lincoln Square,MN17,Midtown-Midtown South,1218172
MN24,SoHo-TriBeCa-Civic Center-Little Italy,MN17,Midtown-Midtown South,1175730
MN19,Turtle Bay-East Midtown,MN19,Turtle Bay-East Midtown,1168868
MN24,SoHo-TriBeCa-Civic Center-Little Italy,MN23,West Village,1118139
MN17,Midtown-Midtown South,MN24,SoHo-TriBeCa-Civic Center-Little Italy,1105645
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,MN24,SoHo-TriBeCa-Civic Center-Little Italy,1095404
MN17,Midtown-Midtown South,MN14,Lincoln Square,1044415
MN40,Upper East Side-Carnegie Hill,MN19,Turtle Bay-East Midtown,1010809
MN24,SoHo-TriBeCa-Civic Center-Little Italy,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,1010767
MN24,SoHo-TriBeCa-Civic Center-Little Italy,MN24,SoHo-TriBeCa-Civic Center-Little Italy,1004172
MN15,Clinton,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,987826
MN31,Lenox Hill-Roosevelt Island,MN17,Midtown-Midtown South,961428
MN14,Lincoln Square,MN12,Upper West Side,959093
MN31,Lenox Hill-Roosevelt Island,MN40,Upper East Side-Carnegie Hill,957197
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,MN15,Clinton,948252
MN12,Upper West Side,MN14,Lincoln Square,939251
MN17,Midtown-Midtown South,MN31,Lenox Hill-Roosevelt Island,934315
MN12,Upper West Side,MN17,Midtown-Midtown South,909059
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,MN20,Murray Hill-Kips Bay,906666
MN40,Upper East Side-Carnegie Hill,MN31,Lenox Hill-Roosevelt Island,896384
MN17,Midtown-Midtown South,MN12,Upper West Side,890915
MN19,Turtle Bay-East Midtown,MN40,Upper East Side-Carnegie Hill,871286
MN31,Lenox Hill-Roosevelt Island,MN19,Turtle Bay-East Midtown,845152
MN19,Turtle Bay-East Midtown,MN31,Lenox Hill-Roosevelt Island,837399
MN40,Upper East Side-Carnegie Hill,MN12,Upper West Side,833350
MN19,Turtle Bay-East Midtown,MN20,Murray Hill-Kips Bay,819725
MN12,Upper West Side,MN40,Upper East Side-Carnegie Hill,805492
MN20,Murray Hill-Kips Bay,MN19,Turtle Bay-East Midtown,786963
MN19,Turtle Bay-East Midtown,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,782682
MN20,Murray Hill-Kips Bay,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,771535
MN40,Upper East Side-Carnegie Hill,MN32,Yorkville,744215
MN32,Yorkville,MN40,Upper East Side-Carnegie Hill,726160
MN17,Midtown-Midtown South,MN25,Battery Park City-Lower Manhattan,726123
MN21,Gramercy,MN17,Midtown-Midtown South,722482
LGA,La Guardia Airport,MN17,Midtown-Midtown South,682144
MN15,Clinton,MN15,Clinton,671311
MN31,Lenox Hill-Roosevelt Island,MN31,Lenox Hill-Roosevelt Island,653602
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,MN19,Turtle Bay-East Midtown,649712
MN24,SoHo-TriBeCa-Civic Center-Little Italy,MN25,Battery Park City-Lower Manhattan,638381
MN23,West Village,MN22,East Village,633814
